1,1,1,1,2017-06-12 11:50:03,2017-06-12 11:50:03,40,0
2,2,1,1,2017-06-12 11:50:05,2017-06-12 11:50:03,40,0
3,3,1,1,2017-06-12 11:50:06,2017-06-12 11:50:03,40,0
4,4,1,1,2017-06-12 11:50:07,2017-06-12 11:50:03,40,0
5,5,1,1,2017-06-12 11:50:08,2017-06-12 11:50:03,40,0
6,7,1,1,2017-06-12 11:50:09,2017-06-12 11:50:03,40,0
7,6,1,1,2017-06-12 11:50:11,2017-06-12 11:50:03,40,0
8,8,1,1,2017-06-13 16:21:02,2017-06-12 11:50:03,1,0
9,16,1,1,2017-06-13 16:21:03,2017-06-12 11:50:03,1,0
10,8,2,0,2017-06-13 16:28:29,2017-06-13 16:28:33,1,1
11,16,2,0,2017-06-13 16:28:30,2017-06-13 16:28:33,1,1
12,17,1,1,2017-06-13 16:31:02,2017-06-12 11:50:03,1,0
13,18,1,1,2017-06-13 16:35:19,2017-06-12 11:50:03,1,0
14,19,1,1,2017-06-13 18:26:45,2017-06-13 18:27:16,1,1
15,20,1,1,2017-06-13 18:47:55,2017-06-12 11:50:03,1,0
16,21,1,1,2017-06-13 19:39:01,2017-06-12 11:50:03,1,0
17,22,1,1,2017-06-13 19:39:02,2017-06-12 11:50:03,1,0
18,23,1,1,2017-06-13 20:38:55,2017-06-12 11:50:03,1,0
19,24,1,1,2017-06-13 20:54:54,2017-06-12 11:50:03,1,0
